"name"|"anio"|"p_t1"|"p_t2"|"p_t3"|"p_t4"|"p_t5"|"transp_gral"|"p_c1"|"p_c2"|"p_c3"|"p_c4"|"p_c5"|"comp_gral"|"p_i1"|"p_i2"|"p_i3"|"p_i4"|"p_i5"|"irreg_gral"
"Secretaría de Educación Pública"|"2019"|0|0|0|0|0|0|67.04545454545455|0|6.666666666666667|0|81.11001057087893|30.96442635660003|0|0|56.81818181818182|1.1363636363636365|20.454545454545457|15.681818181818182
"Secretaría de Educación Pública"|"2020"|0|0|0|0|0|0|65.85365853658537|0|7.142857142857142|7.142857142857142|17.850772214479882|19.59802900735591|0|0|58.536585365853654|0|0|11.707317073170731
"Secretaría de Educación Pública"|"2021"|0|0|0|0|0|0|32.608695652173914|0|5|5|15.211861895237949|11.564111509482373|26.08695652173913|0|63.04347826086957|0|26.08695652173913|23.043478260869566
"Secretaría de Educación Pública"|"2022"|0|0|0|4.55|22.73|5.456|21.875|0|18.181818181818183|0|9.947369209448208|10.000837478253278|0|0|74.6268656716418|1.4925373134328357|55.223880597014926|26.26865671641791
"Secretaría de Energía"|"2017"|0|0|0|0|0|0|16.666666666666664|0|80|40|43.84894529798128|36.10312239292959|0|0|16.666666666666664|0|0|3.333333333333333
"Secretaría de Energía"|"2018"|0|0|0|0|0|0|65.95744680851064|0|37.5|37.5|31.95394687587608|34.58227873687734|0|0|57.446808510638306|0|21.27659574468085|15.74468085106383
"Secretaría de Energía"|"2019"|0|0|0|0|0|0|80.76923076923077|0|44.44444444444444|55.55555555555556|24.660829396326125|41.08601203311138|0|0|44.230769230769226|0|7.6923076923076925|10.384615384615383
"Secretaría de Energía"|"2020"|0|0|0|0|0|0|70|0|60|20|72.54829315249953|44.509658630499906|0|0|35|0|10|9
"Secretaría de Energía"|"2021"|0|0|0|0|0|0|61.904761904761905|0|25|25|43.08246970602703|30.99744632215779|15.789473684210526|0|36.84210526315789|0|15.789473684210526|13.68421052631579
"Secretaría de Energía"|"2022"|0|0|0|0|0|0|82.75862068965517|0|33.33333333333333|0|70.88763767791677|37.395918340181055|0|0|33.33333333333333|0|0|6.666666666666666
"Secretaría de Gobernación"|"2017"|0|0|0|0|50|10|40|0|100|0|28.357976177801874|33.671595235560375|0|0|0|0|40|8
"Secretaría de Gobernación"|"2018"|0|0|0|0|3.45|0.6900000000000001|33.83458646616541|0|10.344827586206897|0|97.4014620877725|28.316175228028964|0|0|73.89705882352942|31.25|63.23529411764706|33.67647058823529
"Secretaría de Gobernación"|"2019"|3.3|0|0|0|6.06|1.8719999999999999|13.541666666666666|0|3.0303030303030303|36.36363636363637|85.93049927379755|27.773221066880723|0|0|88.93805309734513|69.91150442477876|84.80825958702066|48.73156342182891
"Secretaría de Gobernación"|"2020"|0|0|0|0|0|0|34.959349593495936|0|8.333333333333332|25|42.87018435206467|22.232573455778788|0|0|66.4|0|63.2|25.920000000000005
"Secretaría de Gobernación"|"2021"|0|0|0|0|0|0|24.418604651162788|0|13.333333333333334|33.33333333333333|77.63170661126146|29.743395585818185|0|0|80.74866310160428|0|74.33155080213903|31.01604278074866
"Secretaría de Gobernación"|"2022"|2.44|0|0|0|10|2.488|26.11464968152866|0|10|15|87.65753197825046|27.754436331955823|0|0|69.01408450704226|0|60.56338028169014|25.915492957746476
"Secretaría de Hacienda y Crédito Público"|"2016"|0|NA|NA|NA|NA|0|100|0|NA|NA|100|66.66666666666667|0|0|0|0|0|0
"Secretaría de Hacienda y Crédito Público"|"2017"|0|0|0|0|0|0|58.620689655172406|0|25|0|1.66368134597971|17.05687420023042|0|0|34.48275862068966|0|6.896551724137931|8.275862068965518
"Secretaría de Hacienda y Crédito Público"|"2018"|1.62|0|0|0|0|0.324|84.47488584474885|0|23.333333333333332|0|36.86747486430601|28.93513880847764|0.91324200913242|0|42.465753424657535|0.45662100456621|3.65296803652968|9.49771689497717
"Secretaría de Hacienda y Crédito Público"|"2019"|1.81|0|0|0|5.88|1.5379999999999998|82.15613382899627|0|26.47058823529412|11.76470588235294|78.62632024663827|39.80354963865632|0|0|41.63568773234201|1.486988847583643|8.550185873605948|10.33457249070632
"Secretaría de Hacienda y Crédito Público"|"2020"|1.83|0|0|11.76|0|2.718|86.5079365079365|0|0|17.647058823529413|4.8407931651887735|21.79915769933094|0|0|43.30708661417323|2.3622047244094486|3.937007874015748|9.921259842519685
"Secretaría de Hacienda y Crédito Público"|"2021"|2.69|0|0|0|0|0.538|74.69879518072288|0|6.122448979591836|8.16326530612245|97.50710066627997|37.29832202654343|0|0|46.25|0|7.916666666666666|10.833333333333332
"Secretaría de Hacienda y Crédito Público"|"2022"|3.61|0|0|2.33|13.95|3.978|70.33898305084746|0|11.627906976744185|4.651162790697675|74.82481265481935|32.28857309462173|0|0|52.13270142180095|0|5.213270142180095|11.469194312796208
"Secretaría de Hacienda y Crédito Público"|"2023"|0|NA|NA|NA|NA|0|100|0|NA|NA|100|66.66666666666667|0|0|100|0|0|20
"Secretaría de Infraestructura, Comunicaciones y Transportes"|"2021"|NA|0|0|0|0|0|0|NA|0|75|24.303351548715245|24.82583788717881|0|0|62.5|0|0|12.5
"Secretaría de Infraestructura, Comunicaciones y Transportes"|"2022"|0.45|0|0|0.13|6.2|1.356|21.511068334937438|0|37.29372937293729|15.37953795379538|9.473467331325512|16.731560598599124|0|0|64.34486117876278|0.6332196785192401|24.500730638090598|17.895762299074526
"Secretaría de Infraestructura, Comunicaciones y Transportes"|"2023"|0|0|0|0|0|0|40|0|33.33333333333333|33.33333333333333|9.693727284058024|23.27207879014494|0|0|40|0|0|8
"Secretaría de Marina"|"2017"|0|0|0|0|4.55|0.9099999999999999|41.37931034482759|0|45.45454545454545|0|100|37.36677115987461|0|0|60.3448275862069|0|32.758620689655174|18.620689655172413
"Secretaría de Marina"|"2018"|2.09|0|0|0.61|4.85|1.51|82.39460370994941|0|8.484848484848486|3.6363636363636362|96.99043846465901|38.30125085916411|0|0.33726812816188867|66.81281618887014|3.069139966273187|15.784148397976391|17.200674536256322
"Secretaría de Marina"|"2019"|0.9|0|0|0|1.66|0.512|73.99598393574297|0|8.71369294605809|0|97.82492696160358|36.10692076868093|0.03342245989304812|0.2339572192513369|66.41042780748663|3.442513368983957|23.094919786096256|18.643048128342244
"Secretaría de Marina"|"2020"|2.32|0|0|0|2.89|1.042|75.88179218303146|0|7.514450867052023|0|100|36.6792486100167|0|0.19065776930409914|67.34985700667302|1.1916110581506196|20.59103908484271|17.86463298379409
"Secretaría de Marina"|"2021"|3.22|0|0|0|3.57|1.358|76.6684182869154|0|10.714285714285714|0|100|37.47654080024022|0|0|69.70021413276231|0.9100642398286938|17.880085653104924|17.698072805139184
"Secretaría de Marina"|"2022"|3.72|0|0|0|6.34|2.012|77.08222811671087|0|8.450704225352112|0|100|37.106586468412594|0|0|69.42193408968126|3.2414910858995136|18.206374932468936|18.17396002160994
"Secretaría de Marina"|"2023"|8.26|0|0|0|50|11.652|87.68115942028986|0|50|50|100|57.536231884057976|0|0|65.18518518518519|0.7407407407407408|11.11111111111111|15.407407407407408
"Secretaría de Medio Ambiente y Recursos Naturales"|"2017"|0|0|0|20|40|12|70.58823529411765|0|20|0|62.91173316156314|30.69999369113616|0|0|47.05882352941176|0|0|9.411764705882351
"Secretaría de Medio Ambiente y Recursos Naturales"|"2018"|0|0|0|0|2.7|0.54|83.6734693877551|0|13.513513513513514|16.216216216216218|65.0097066217385|35.682581147844665|0|0|48.63945578231292|2.7210884353741496|6.462585034013606|11.564625850340136
"Secretaría de Medio Ambiente y Recursos Naturales"|"2019"|2.38|0|0|0|1.85|0.8460000000000001|57.534246575342465|0|18.51851851851852|64.81481481481481|46.94813834448071|37.5631436506313|0|0|45.20547945205479|0.684931506849315|10.273972602739725|11.232876712328766
"Secretaría de Medio Ambiente y Recursos Naturales"|"2020"|1.41|0|0|0|0|0.282|64.54545454545455|0|14.705882352941178|47.05882352941176|21.677542310334765|29.597540547628448|0|0|43.63636363636363|0.9090909090909091|8.181818181818182|10.545454545454545
"Secretaría de Medio Ambiente y Recursos Naturales"|"2021"|0|0|0|4|4|1.6|62.5|0|24|44|21.734467616988223|30.44689352339764|0|0|42.391304347826086|0|10.869565217391305|10.652173913043478
"Secretaría de Medio Ambiente y Recursos Naturales"|"2022"|0|0|0|0|0|0|64.1025641025641|0|18.75|18.75|32.18747663083034|26.75800814667889|0|0|63.74999999999999|0|23.75|17.5
"Secretaría de Relaciones Exteriores"|"2017"|0|0|0|0|0|0|40|0|33.33333333333333|16.666666666666664|94.09580261970595|36.81916052394119|0|0|20|0|0|4
"Secretaría de Relaciones Exteriores"|"2018"|0|0|0|0|3.23|0.646|68.80733944954129|0|6.451612903225806|12.903225806451612|46.402267877205844|26.912889207284913|0|0.9174311926605505|47.706422018348626|0|5.5045871559633035|10.825688073394495
