"name"|"anio"|"n_prov"
"Centro de Investigaciones y Estudios Superiores en Antropología Social"|"2022"|127
"Centro de Investigaciones y Estudios Superiores en Antropología Social"|"2023"|1
"Centro de Investigación Científica de Yucatán, A.C."|"2017"|3
"Centro de Investigación Científica de Yucatán, A.C."|"2018"|147
"Centro de Investigación Científica de Yucatán, A.C."|"2019"|125
"Centro de Investigación Científica de Yucatán, A.C."|"2020"|111
"Centro de Investigación Científica de Yucatán, A.C."|"2021"|148
"Centro de Investigación Científica de Yucatán, A.C."|"2022"|103
"Centro de Investigación Científica de Yucatán, A.C."|"2023"|7
"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California"|"2017"|1
"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California"|"2018"|129
"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California"|"2019"|176
"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California"|"2020"|148
"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California"|"2021"|130
"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California"|"2022"|118
"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California"|"2023"|7
"Centro de Investigación en Alimentación y Desarrollo, A.C."|"2017"|39
"Centro de Investigación en Alimentación y Desarrollo, A.C."|"2018"|186
"Centro de Investigación en Alimentación y Desarrollo, A.C."|"2019"|211
"Centro de Investigación en Alimentación y Desarrollo, A.C."|"2020"|211
"Centro de Investigación en Alimentación y Desarrollo, A.C."|"2021"|238
"Centro de Investigación en Alimentación y Desarrollo, A.C."|"2022"|242
"Centro de Investigación en Alimentación y Desarrollo, A.C."|"2023"|15
"Centro de Investigación en Ciencias de Información Geoespacial, A.C."|"2017"|8
"Centro de Investigación en Ciencias de Información Geoespacial, A.C."|"2018"|23
"Centro de Investigación en Ciencias de Información Geoespacial, A.C."|"2019"|41
"Centro de Investigación en Ciencias de Información Geoespacial, A.C."|"2020"|127
"Centro de Investigación en Ciencias de Información Geoespacial, A.C."|"2021"|86
"Centro de Investigación en Ciencias de Información Geoespacial, A.C."|"2022"|60
"Centro de Investigación en Matemáticas, A.C."|"2017"|2
"Centro de Investigación en Matemáticas, A.C."|"2018"|30
"Centro de Investigación en Matemáticas, A.C."|"2019"|55
"Centro de Investigación en Matemáticas, A.C."|"2020"|49
"Centro de Investigación en Matemáticas, A.C."|"2021"|76
"Centro de Investigación en Matemáticas, A.C."|"2022"|70
"Centro de Investigación en Materiales Avanzados, S.C."|"2017"|2
"Centro de Investigación en Materiales Avanzados, S.C."|"2018"|36
"Centro de Investigación en Materiales Avanzados, S.C."|"2019"|115
"Centro de Investigación en Materiales Avanzados, S.C."|"2020"|90
"Centro de Investigación en Materiales Avanzados, S.C."|"2021"|118
"Centro de Investigación en Materiales Avanzados, S.C."|"2022"|156
"Centro de Investigación en Química Aplicada"|"2017"|23
"Centro de Investigación en Química Aplicada"|"2018"|228
"Centro de Investigación en Química Aplicada"|"2019"|144
"Centro de Investigación en Química Aplicada"|"2020"|116
"Centro de Investigación en Química Aplicada"|"2021"|114
"Centro de Investigación en Química Aplicada"|"2022"|101
"Centro de Investigación en Química Aplicada"|"2023"|7
"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C."|"2017"|1
"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C."|"2018"|53
"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C."|"2019"|59
"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C."|"2020"|66
"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C."|"2021"|65
"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C."|"2022"|83
"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C."|"2023"|1
"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C."|"2017"|11
"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C."|"2018"|163
"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C."|"2019"|126
"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C."|"2020"|36
"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C."|"2021"|82
"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C."|"2022"|60
"Centro de Investigación y Docencia Económicas, A.C."|"2017"|20
